Regiao,UF,TotalCasos,TotalObitos,Estado,Governador
Norte,AC,27885.0,657.0,Acre,GLADSON DE LIMA CAMELI
Nordeste,AL,86393.0,2062.0,Alagoas,JOSE RENAN VASCONCELOS CALHEIROS FILHO
Norte,AP,47935.0,704.0,Amapá,ANTONIO WALDEZ GÓES DA SILVA
Norte,AM,136708.0,4031.0,Amazonas,WILSON MIRANDA LIMA
Nordeste,BA,306629.0,6648.0,Bahia,RUI COSTA DOS SANTOS
Nordeste,CE,239062.0,8921.0,Ceará,CAMILO SOBREIRA DE SANTANA
Centro-Oeste,DF,190505.0,3203.0,Distrito Federal,IBANEIS ROCHA BARROS JUNIOR
Sudeste,ES,129796.0,3524.0,Espírito Santo,JOSE RENATO CASAGRANDE
Centro-Oeste,GO,202754.0,4529.0,Goiás,RONALDO RAMOS CAIADO
Nordeste,MA,172176.0,3735.0,Maranhão,FLÁVIO DINO DE CASTRO E COSTA
Centro-Oeste,MT,121145.0,3372.0,Mato Grosso,MAURO MENDES FERREIRA
Centro-Oeste,MS,68325.0,1278.0,Mato Grosso do Sul,REINALDO AZAMBUJA SILVA
Sudeste,MG,290137.0,7240.0,Minas Gerais,ROMEU ZEMA NETO
Norte,PA,228068.0,6551.0,Pará,HELDER ZAHLUTH BARBALHO
Nordeste,PB,119987.0,2804.0,Paraíba,JOÃO AZEVEDO LINS FILHO
Sul,PR,175982.0,4378.0,Paraná,CARLOS ROBERTO MASSA JUNIOR
Nordeste,PE,145096.0,8190.0,Pernambuco,PAULO HENRIQUE SARAIVA CÂMARA
Nordeste,PI,94733.0,2101.0,Piauí,JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS
Sudeste,RJ,262006.0,18291.0,Rio de Janeiro,WILSON JOSÉ WITZEL
Nordeste,RN,68765.0,2377.0,Rio Grande do Norte,MARIA DE FATIMA BEZERRA
Sul,RS,185778.0,4648.0,Rio Grande do Sul,EDUARDO FIGUEIREDO CAVALHEIRO LEITE
Norte,RO,65386.0,1340.0,Rondônia,MARCOS JOSE ROCHA DOS SANTOS
Norte,RR,49968.0,637.0,Roraima,ANTONIO OLIVERIO GARCIA DE ALMEIDA
Sul,SC,213066.0,2765.0,Santa Catarina,CARLOS MOISÉS DA SILVA
Sudeste,SP,973142.0,35125.0,São Paulo,JOÃO AGRIPINO DA COSTA DORIA JUNIOR
Nordeste,SE,77172.0,2025.0,Sergipe,BELIVALDO CHAGAS SILVA
Norte,TO,66865.0,922.0,Tocantins,MAURO CARLESSE
